,tenure,MonthlyCharges,OnlineSecurity,InternetService,Contract,TechSupport,Churn Probability
163,53,73.9,No,DSL,Two year,Yes,0.08648554173190308
164,11,20.6,No internet service,No,One year,No internet service,0.0705299556155234
165,69,19.9,No internet service,No,Two year,No internet service,0.021090651424125598
166,4,70.9,No,Fiber optic,Month-to-month,No,0.833287198264591
167,72,89.05,Yes,DSL,Two year,Yes,0.03794618393421254
168,58,45.3,No,DSL,Month-to-month,No,0.5058568462765017
169,16,20.4,No internet service,No,Month-to-month,No internet service,0.2564208026419494
170,43,84.25,Yes,Fiber optic,One year,Yes,0.24742612235624534
171,2,104.4,No,Fiber optic,Month-to-month,Yes,0.7123490120324021
172,14,81.95,No,DSL,Two year,Yes,0.14953766512348882
173,53,94.85,No,Fiber optic,One year,No,0.3727048124053069
174,32,20.55,No internet service,No,One year,No internet service,0.058063978159065215
175,34,24.7,No internet service,No,Month-to-month,No internet service,0.17813866162096686
176,15,74.45,No,Fiber optic,Month-to-month,No,0.8131133283799244
177,7,76.45,Yes,Fiber optic,Month-to-month,No,0.6093345959100828
178,15,105.35,No,Fiber optic,Month-to-month,No,0.8110502549118443
179,61,20.55,No internet service,No,One year,No internet service,0.06593637178252712
180,1,29.95,No,DSL,Month-to-month,No,0.7196369005274911
181,1,45.3,No,DSL,Month-to-month,No,0.7192166106724185
182,8,84.5,No,Fiber optic,Month-to-month,No,0.834387623666586
183,33,74.75,Yes,DSL,One year,No,0.16541589669090317
184,13,79.25,No,Fiber optic,Month-to-month,No,0.8230876047637078
185,1,24.8,No,DSL,Month-to-month,No,0.7195507497757956
186,20,51.8,No,DSL,Month-to-month,No,0.5192215878923189
187,3,30.4,No,DSL,Month-to-month,Yes,0.5501113343195393
188,13,19.65,No internet service,No,One year,No internet service,0.06935432134694723
189,40,56.6,No,DSL,Month-to-month,No,0.47684861865491324
190,43,71.9,Yes,DSL,One year,Yes,0.15112348749824187
191,6,91.0,No,Fiber optic,Month-to-month,No,0.835018590920319
192,69,19.75,No internet service,No,Two year,No internet service,0.023311652958145763
193,72,109.7,Yes,Fiber optic,Two year,No,0.11898424618227559
194,59,19.3,No internet service,No,Two year,No internet service,0.0585698213948409
195,20,96.55,Yes,Fiber optic,Month-to-month,Yes,0.46292944527834096
196,24,24.1,No internet service,No,Two year,No internet service,0.026890486277758398
197,59,111.35,No,Fiber optic,Month-to-month,Yes,0.5150745720294948
198,72,112.25,No,Fiber optic,Two year,Yes,0.15767839769021105
199,1,20.75,No internet service,No,Month-to-month,No internet service,0.470912905037704
200,27,101.9,Yes,Fiber optic,One year,Yes,0.30448201642738476
201,14,80.05,No,Fiber optic,Month-to-month,Yes,0.6837067719086116
202,71,105.55,Yes,Fiber optic,Two year,No,0.13817421281701914
203,13,78.3,No,Fiber optic,Month-to-month,No,0.822055995932242
204,44,68.85,No,Fiber optic,Month-to-month,No,0.665331012156221
205,33,79.95,No,Fiber optic,One year,Yes,0.32189337234121185
206,72,55.45,Yes,DSL,Two year,Yes,0.04222243341592951
207,1,79.9,No,Fiber optic,Month-to-month,No,0.8492521031383821
208,19,106.6,Yes,Fiber optic,Month-to-month,Yes,0.4821528587706265
209,64,102.45,No,Fiber optic,One year,Yes,0.3827442739344296
210,2,46.0,No,DSL,Month-to-month,No,0.7160764271633275
211,1,25.25,No,DSL,Month-to-month,No,0.7189151640252835
212,61,19.75,No internet service,No,Two year,No internet service,0.024504279852638408
213,29,20.0,No internet service,No,One year,No internet service,0.05458497436156802
214,23,86.8,No,Fiber optic,Month-to-month,No,0.7267128667319749
215,57,58.75,Yes,DSL,Month-to-month,No,0.3589948711494019
216,72,45.25,Yes,DSL,Two year,Yes,0.044431685196499
217,66,56.6,Yes,DSL,Two year,Yes,0.05187138320183031
218,65,84.2,No,DSL,Two year,Yes,0.07923810064830038
219,8,80.0,No,Fiber optic,Month-to-month,No,0.8342836748965334
220,4,70.15,No,Fiber optic,Month-to-month,No,0.8324059678965395
221,71,24.75,No internet service,No,Two year,No internet service,0.017653524166897118
222,1,20.2,No internet service,No,One year,No internet service,0.15934877487264007
223,4,50.05,No,DSL,Month-to-month,Yes,0.5364932654030331
224,12,19.35,No internet service,No,One year,No internet service,0.07932338600942472
225,24,50.6,Yes,DSL,One year,No,0.1740852277022954
226,31,81.15,Yes,DSL,One year,Yes,0.15344195297357918
227,1,55.2,No,DSL,Month-to-month,No,0.714417163816806
228,30,89.9,No,Fiber optic,Month-to-month,Yes,0.5795894945936563
229,47,85.3,Yes,DSL,Two year,Yes,0.04905906350477754
230,54,108.0,Yes,Fiber optic,Two year,Yes,0.17891860820493655
231,50,93.5,Yes,Fiber optic,Month-to-month,Yes,0.3695160357375156
232,1,84.6,Yes,Fiber optic,Month-to-month,No,0.6224735895391589
233,72,20.25,No internet service,No,Two year,No internet service,0.01852468950232218
234,29,25.15,No internet service,No,Month-to-month,No internet service,0.1786903431894719
235,2,54.4,No,DSL,Month-to-month,No,0.7138335365993989
236,10,29.6,No,DSL,Two year,Yes,0.16473407449244476
237,18,73.15,No,Fiber optic,Month-to-month,No,0.7298449364454666
238,11,95.0,No,Fiber optic,Month-to-month,No,0.8254232586065355
239,16,19.75,No internet service,No,Two year,No internet service,0.03957639650376641
240,72,86.6,No,DSL,Two year,Yes,0.07675581182938593
241,72,109.2,No,Fiber optic,Two year,Yes,0.16669722669919407
242,41,74.7,Yes,DSL,One year,Yes,0.15446779244029968
243,65,94.4,Yes,Fiber optic,Month-to-month,No,0.44837590697723667
244,13,54.8,No,DSL,Month-to-month,No,0.5783124667857479
245,4,75.35,Yes,Fiber optic,Month-to-month,No,0.6063313583163421
246,41,65.0,No,DSL,One year,No,0.25048106498023825
247,15,74.4,No,Fiber optic,Month-to-month,No,0.8131133283799244
248,1,48.55,Yes,DSL,Month-to-month,No,0.5623585997065529
249,42,99.0,Yes,Fiber optic,One year,No,0.260397935145206
250,51,93.5,Yes,Fiber optic,One year,No,0.249827586975475
251,2,70.4,No,Fiber optic,Month-to-month,No,0.8359367332645666
252,1,40.2,No,DSL,Month-to-month,No,0.7196369005274911
253,32,83.7,No,DSL,One year,Yes,0.22117332759932662
254,10,19.85,No internet service,No,Month-to-month,No internet service,0.3222682014168623
255,67,59.55,No,DSL,Two year,Yes,0.08110472952441118
256,61,115.1,Yes,Fiber optic,Two year,Yes,0.16583383737036428
257,50,114.35,Yes,Fiber optic,One year,Yes,0.32877666442396947
258,2,44.6,No,DSL,Month-to-month,No,0.7160764271633275
259,29,45.0,Yes,DSL,Month-to-month,No,0.41099639690663525
260,3,41.15,No,DSL,Month-to-month,No,0.7134899761877435
261,13,106.9,No,Fiber optic,Month-to-month,No,0.8178049190495077
262,57,89.85,No,Fiber optic,Month-to-month,No,0.6824869033101589
263,31,49.85,Yes,DSL,Two year,Yes,0.054341636890815316
264,45,113.3,Yes,Fiber optic,One year,Yes,0.33089447758263657
265,61,88.1,Yes,DSL,Two year,Yes,0.044465045355946586
266,50,24.9,No internet service,No,Two year,No internet service,0.02768696352072645
267,19,105.0,Yes,Fiber optic,Month-to-month,Yes,0.48137492528193176
268,59,19.35,No internet service,No,Two year,No internet service,0.06430510260949443
269,71,24.25,No internet service,No,Two year,No internet service,0.01584900814455563
270,16,94.45,No,Fiber optic,Month-to-month,Yes,0.671898953378948
271,57,59.75,Yes,DSL,Two year,Yes,0.04858922574236344
272,1,24.8,No,DSL,Month-to-month,No,0.7195507497757956
273,20,107.05,No,Fiber optic,Month-to-month,Yes,0.6128927562047884
274,1,70.6,No,Fiber optic,Month-to-month,No,0.8442330362166276
275,5,85.4,No,Fiber optic,Month-to-month,Yes,0.7097228007687492
276,52,105.05,No,Fiber optic,Month-to-month,No,0.7010114839830066
277,21,64.95,Yes,DSL,Month-to-month,No,0.39319691174601407
278,14,55.0,No,DSL,Month-to-month,Yes,0.4503586934523876
279,5,50.55,No,DSL,Month-to-month,No,0.6604852620873034
280,6,55.15,Yes,DSL,Month-to-month,No,0.4564600675391153
281,10,51.2,No,DSL,Month-to-month,No,0.59945341785982
282,1,25.4,No internet service,No,Month-to-month,No internet service,0.3960936332673246
283,68,54.45,Yes,DSL,Month-to-month,No,0.368351265563293
284,18,95.15,No,Fiber optic,Month-to-month,No,0.7413273602523172
285,22,76.0,No,Fiber optic,One year,No,0.3655492499013174
286,20,44.35,No,DSL,Month-to-month,No,0.5254460348624919
287,1,70.0,No,Fiber optic,Month-to-month,No,0.8442330362166276
288,8,74.5,No,Fiber optic,Month-to-month,No,0.8320967126944597
289,10,44.85,No,DSL,Month-to-month,No,0.6035024981496766
290,24,76.1,No,Fiber optic,Month-to-month,No,0.724507079179748
291,35,61.2,Yes,DSL,One year,No,0.16454087492058087
292,23,86.8,No,Fiber optic,One year,Yes,0.32988537009090835
293,6,89.35,No,Fiber optic,Month-to-month,No,0.835470185255948
294,12,19.7,No internet service,No,Month-to-month,No internet service,0.3155662439816496
295,1,20.25,No internet service,No,Month-to-month,No internet service,0.5049396331206517
296,71,76.05,No,Fiber optic,Two year,No,0.24516019415163592
297,35,100.8,No,Fiber optic,Month-to-month,No,0.7193257587099073
298,40,74.55,No,DSL,Month-to-month,No,0.4727316130563337
299,1,73.6,Yes,Fiber optic,Month-to-month,No,0.6266867743405666
300,23,64.9,No,DSL,One year,No,0.2572048492106035
301,4,95.45,No,Fiber optic,Month-to-month,No,0.8396776675614226
302,4,90.4,No,Fiber optic,Month-to-month,Yes,0.7107893755395219
303,68,60.3,No,DSL,Two year,Yes,0.08018098246540556
304,38,81.85,No,Fiber optic,Month-to-month,No,0.7067675011244381
305,52,24.8,No internet service,No,Two year,No internet service,0.02768696352072645
306,32,74.9,No,Fiber optic,Month-to-month,No,0.7160587278543155
307,29,75.55,No,DSL,Two year,Yes,0.0897846859039668
308,38,101.15,No,Fiber optic,Month-to-month,No,0.7154395839695034
309,48,78.75,Yes,DSL,One year,No,0.16703198270809763
310,1,19.25,No internet service,No,Month-to-month,No internet service,0.5231132092509655
311,22,89.05,Yes,Fiber optic,Month-to-month,Yes,0.4218060761963298
312,43,115.05,Yes,Fiber optic,Two year,Yes,0.17832284142142119
313,5,69.35,No,Fiber optic,Month-to-month,No,0.8234952770183619
314,5,80.6,No,Fiber optic,Month-to-month,No,0.8357065650463538
315,51,110.05,Yes,Fiber optic,One year,Yes,0.3303810298413824
316,71,19.9,No internet service,No,Two year,No internet service,0.020385150109192614
317,38,80.3,Yes,DSL,One year,Yes,0.15718529557350497
318,24,93.15,No,Fiber optic,Month-to-month,No,0.7282189888146144
319,35,91.5,No,Fiber optic,Month-to-month,Yes,0.5757368587439908
320,54,82.45,Yes,DSL,One year,Yes,0.15471382530608363
321,72,60.0,No,DSL,Two year,Yes,0.07891792869925596
322,1,44.8,No,DSL,Month-to-month,No,0.7192166106724185
323,9,48.6,Yes,DSL,One year,No,0.2039812580103871
324,69,60.05,Yes,DSL,Two year,Yes,0.0465598255061312
325,52,102.7,No,Fiber optic,Month-to-month,Yes,0.5512802941978175
326,11,82.9,No,Fiber optic,Month-to-month,Yes,0.6890978157701731
327,2,70.35,No,Fiber optic,Month-to-month,No,0.8359367332645666
328,28,35.9,No,DSL,Month-to-month,No,0.5111621933303028
329,17,82.65,No,Fiber optic,Month-to-month,No,0.7558857705402293
330,35,19.85,No internet service,No,Two year,No internet service,0.027513541549474437
331,8,19.2,No internet service,No,One year,No internet service,0.08984347596862415
332,46,94.9,No,Fiber optic,One year,No,0.36583845707455426
333,7,73.85,No,Fiber optic,Month-to-month,No,0.8304116311926156
334,2,80.6,No,Fiber optic,Month-to-month,No,0.8407762470214745
335,68,75.8,No,DSL,One year,Yes,0.20997156865796965
336,43,104.6,No,Fiber optic,Two year,No,0.306938798052699
337,68,88.15,Yes,DSL,Two year,Yes,0.04439513795200273
338,36,94.8,No,Fiber optic,Month-to-month,No,0.7166936645184284
339,63,103.4,No,Fiber optic,Month-to-month,No,0.6843577615999386
340,32,54.65,No,DSL,Month-to-month,Yes,0.36598584704645526
341,71,85.75,Yes,DSL,Two year,Yes,0.040408512791436375
342,66,67.45,Yes,DSL,Month-to-month,No,0.33306999068730214
343,63,20.5,No internet service,No,One year,No internet service,0.06564316144559786
344,41,20.25,No internet service,No,One year,No internet service,0.05518024274412802
345,1,72.1,No,Fiber optic,Month-to-month,No,0.8451142665846787
346,2,90.4,No,Fiber optic,Month-to-month,No,0.8408378670420321
347,70,19.45,No internet service,No,Two year,No internet service,0.025824204080910133
348,23,44.95,No,DSL,Month-to-month,No,0.5173041091306991
349,64,97.0,Yes,Fiber optic,One year,No,0.24961027380313217
350,37,62.8,Yes,DSL,Two year,Yes,0.05172343194520275
351,17,44.6,No,DSL,One year,No,0.2998999773460262
352,7,89.15,No,Fiber optic,Month-to-month,No,0.835470185255948
353,4,84.8,No,Fiber optic,Month-to-month,No,0.8397016751316355
354,21,41.9,Yes,DSL,Month-to-month,No,0.43231112969898516
355,10,80.25,No,Fiber optic,Month-to-month,No,0.8335716963694034
356,16,54.1,Yes,DSL,Month-to-month,No,0.44581545394887956
357,64,105.25,No,Fiber optic,Two year,Yes,0.21335101815953147
358,27,30.75,Yes,DSL,Month-to-month,No,0.4123099960088893
359,42,97.1,Yes,Fiber optic,One year,No,0.25792968273708927
360,5,20.2,No internet service,No,Month-to-month,No internet service,0.32315786921649126
361,41,98.8,No,Fiber optic,Two year,Yes,0.20414966258133868
362,58,50.3,No,DSL,One year,No,0.25443192871573445
363,47,20.55,No internet service,No,Two year,No internet service,0.024742642913908708
364,18,75.9,No,Fiber optic,Month-to-month,Yes,0.574751508712119
365,5,96.5,No,Fiber optic,Month-to-month,No,0.8364289528831056
366,23,59.95,Yes,DSL,Month-to-month,No,0.39082653400291095
367,1,19.15,No internet service,No,Month-to-month,No internet service,0.4978491650988564
368,71,98.65,No,Fiber optic,One year,No,0.35315264312909833
369,72,112.6,Yes,Fiber optic,Two year,Yes,0.08950475412327426
370,33,20.6,No internet service,No,One year,No internet service,0.05790842260350966
371,2,85.65,No,Fiber optic,Month-to-month,No,0.8411106652424587
372,24,35.75,Yes,DSL,Two year,Yes,0.05752640936347702
373,56,99.75,No,Fiber optic,One year,Yes,0.3691065848330841
374,37,96.1,No,Fiber optic,Month-to-month,No,0.7183129938412584
375,43,85.1,No,DSL,One year,Yes,0.22358507148322454
376,1,25.35,No,DSL,Month-to-month,No,0.7189151640252835
377,25,104.95,No,Fiber optic,Month-to-month,Yes,0.5882893951202577
378,61,89.65,Yes,DSL,Two year,Yes,0.044465045355946586
379,17,86.75,No,Fiber optic,One year,Yes,0.3566564589823107
380,41,86.2,No,Fiber optic,One year,Yes,0.32628738245574157
381,1,50.65,No,DSL,Month-to-month,No,0.7179250137906023
382,72,64.8,Yes,DSL,Two year,Yes,0.03989276964062609
383,1,90.85,No,Fiber optic,Month-to-month,No,0.8492737682216297
384,48,108.1,No,Fiber optic,Two year,No,0.30297418139970955
385,11,19.95,No internet service,No,Month-to-month,No internet service,0.3138644495962983
386,55,85.45,No,Fiber optic,Month-to-month,No,0.6855060045782843
387,42,54.75,Yes,DSL,One year,Yes,0.15054819742355743
388,44,90.4,No,Fiber optic,Month-to-month,No,0.7079847615606891
389,1,44.0,No,DSL,Month-to-month,No,0.7192166106724185
390,27,95.6,No,Fiber optic,Month-to-month,No,0.7206007446760161
391,27,84.8,No,DSL,Month-to-month,Yes,0.35890412570944163
392,2,44.3,No,DSL,Month-to-month,No,0.7160764271633275
393,19,19.9,No internet service,No,Month-to-month,No internet service,0.2600030718646524
394,42,95.05,No,Fiber optic,Month-to-month,No,0.7114342963339193
395,66,90.05,Yes,DSL,Two year,Yes,0.04596362870435964
396,33,109.9,Yes,Fiber optic,Month-to-month,Yes,0.42722077687887633
397,34,73.95,No,Fiber optic,Month-to-month,No,0.710544088020858
398,33,54.6,No,DSL,Month-to-month,Yes,0.36598584704645526
399,23,20.05,No internet service,No,One year,No internet service,0.05473845702189249
400,32,19.75,No internet service,No,One year,No internet service,0.05419443977376746
401,11,20.05,No internet service,No,One year,No internet service,0.07096029240050399
402,69,99.45,No,Fiber optic,Month-to-month,No,0.6857621224766975
403,68,55.9,Yes,DSL,One year,Yes,0.1413906271980484
404,20,19.7,No internet service,No,Two year,No internet service,0.0320648665966874
405,72,19.8,No internet service,No,Two year,No internet service,0.01993249206706915
406,60,95.4,Yes,Fiber optic,One year,No,0.2513942087802503
407,32,93.95,No,Fiber optic,Month-to-month,No,0.7195918413539798
408,1,19.9,No internet service,No,Month-to-month,No internet service,0.5424096207607345
409,1,19.6,No internet service,No,Month-to-month,No internet service,0.53515809648521
410,3,81.35,No,Fiber optic,Month-to-month,No,0.8393672569106514
411,46,24.45,No internet service,No,One year,No internet service,0.05974306338148783
412,29,74.95,No,Fiber optic,Month-to-month,No,0.7160587278543155
